url,name,description
https://www.fourseasons.com/geneva/dining/restaurants/izumi/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-gen-fab-mid-seo-na&utm_content=na-na&utm_term=na,IZUMI,restaurant
https://www.fourseasons.com/geneva,Il Lago,restaurant
https://www.fourseasons.com/geneva/dining/restaurants/izumi/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-gen-fab-mid-seo-na&utm_content=na-na&utm_term=na,IZUMI,restaurant
https://www.sawerdo.ch,Sawerdō,restaurant
https://www.tartaresandco.ch/,Tartares & Co,restaurant
https://arizona-coiffure.ch/,Arizona,hairdresser
https://luckygrill.ch,Lucky Grill,restaurant
https://www.sawerdo.ch,Sawerdō,restaurant
https://arizona-coiffure.ch/,Arizona,hairdresser
https://luckygrill.ch,Lucky Grill,restaurant
https://www.le-phare.ch/,Le Phare,bar
https://www.le-phare.ch/,Le Phare,bar
https://www.fourseasons.com/geneva,Il Lago,restaurant
https://www.fourseasons.com/geneva/dining/restaurants/izumi/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-gen-fab-mid-seo-na&utm_content=na-na&utm_term=na,IZUMI,restaurant
https://www.geneva-fiskebar.com/,Fiskebar,restaurant
https://www.livingroombarandkitchen.com/,The Living Room,restaurant
https://www.sawerdo.ch,Sawerdō,restaurant
https://www.tartaresandco.ch/,Tartares & Co,restaurant
https://arizona-coiffure.ch/,Arizona,hairdresser
https://www.sawerdo.ch,Sawerdō,restaurant
https://www.brasseriebagatelle.com,Bagatelle,restaurant
https://arizona-coiffure.ch/,Arizona,hairdresser
https://www.brasseriebagatelle.com,Bagatelle,restaurant
https://arizona-coiffure.ch/,Arizona,hairdresser
http://www.mandarin.ch,Restaurant le Mandarin,restaurant
https://berbhair.ch/,BerbHair,hairdresser
https://www.geneva-fiskebar.com/,Fiskebar,restaurant
https://www.livingroombarandkitchen.com/,The Living Room,restaurant
https://www.geneva-fiskebar.com/,Fiskebar,restaurant
https://www.livingroombarandkitchen.com/,The Living Room,restaurant
https://www.latrattoria.ch/,La Trattoria de Tonio,restaurant
https://www.brasseriebagatelle.com,Bagatelle,restaurant
http://llongueras.ch,Llongueras,hairdresser
http://llongueras.ch,Llongueras,hairdresser
https://www.borealcoffee.ch/,Boreal x El Salad,restaurant
http://www.cafe-de-paris.ch,Café de Paris,restaurant
https://www.fiveguys.ch,Five Guys,fast_food
https://www.borealcoffee.ch/,Boreal x El Salad,restaurant
https://www.livingroombarandkitchen.com/,The Living Room,restaurant
http://www.cafe-de-paris.ch,Café de Paris,restaurant
https://www.fiveguys.ch,Five Guys,fast_food
https://www.borealcoffee.ch/,Boreal x El Salad,restaurant
http://www.cafe-de-paris.ch,Café de Paris,restaurant
https://www.fiveguys.ch,Five Guys,fast_food
http://www.beau-rivage.ch,Le Chat Botté,restaurant
http://www.beau-rivage.ch,Le Chat Botté,restaurant
https://dangleterrehotel.com/dining-and-drinks/windows-restaurant?utm_source=google&utm_medium=local&utm_campaign=restaurant-windows,Windows,restaurant
http://www.cafe-de-paris.ch,Café de Paris,restaurant
https://www.holycow.ch/,Holy Cow,fast_food
https://www.fiveguys.ch,Five Guys,fast_food
http://www.beau-rivage.ch,Le Chat Botté,restaurant
https://dangleterrehotel.com/dining-and-drinks/windows-restaurant?utm_source=google&utm_medium=local&utm_campaign=restaurant-windows,Windows,restaurant
https://www.holycow.ch/,Holy Cow,fast_food
https://parfumsdebeyrouth.ch/,Parfums de Beyrouth,fast_food
http://www.international-terminus.ch/hotel-international-geneve-restaurant-international-terminus-hotel/,La Véranda,restaurant
https://addisababarestaurant.ch/,Addis Abeba,restaurant
https://www.elfaro.ch/,El Faro,restaurant
https://sajeat.ch/,Saj Eat,restaurant
https://www.asiagardenge.ch,Asia Garden,restaurant
https://www.jecks-place.ch/,"Jeck's Place, Restaurant singapourien",restaurant
https://parfumsdebeyrouth.ch/,Parfums de Beyrouth,fast_food
https://www.jecks-place.ch/,"Jeck's Place, Restaurant singapourien",restaurant
https://dev.esteyo.online/bienvenue-a-la-buvette-des-bains,La Buvette des Bains,restaurant
http://www.international-terminus.ch/hotel-international-geneve-restaurant-international-terminus-hotel/,La Véranda,restaurant
https://addisababarestaurant.ch/,Addis Abeba,restaurant
https://www.elfaro.ch/,El Faro,restaurant
https://sajeat.ch/,Saj Eat,restaurant
https://www.lobsterandco.com/,Lobster & Co.,restaurant
https://www.americandreamdiner.com/,American Dream Diner,restaurant
https://www.jecks-place.ch/,"Jeck's Place, Restaurant singapourien",restaurant
https://addisababarestaurant.ch/,Addis Abeba,restaurant
https://www.elfaro.ch/,El Faro,restaurant
